               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099754,            0.030735,                   0,            0.096367,            0.040816,            0.037993,            0.015308,            0.049151,            0.019626,                   0,              0.0892,              0.0012,              0.0012
                   1,            0.087207,            0.028274,                   0,             0.03133,             0.40816,            0.071108,            0.016099,            0.036697,            0.015359,                   0,            0.077475,           0.0024753,           0.0024753
                   2,            0.072037,            0.027924,                   0,            0.050663,             0.71429,             0.11139,            0.025276,            0.031178,            0.012676,                   0,            0.065725,           0.0037248,           0.0037248
                   3,            0.066978,            0.025701,                   0,             0.25103,             0.38776,             0.25621,            0.078739,            0.029674,            0.010486,                   0,            0.053949,           0.0049485,           0.0049485
                   4,            0.052978,            0.026499,                   0,             0.42878,              0.5102,             0.39514,              0.1255,            0.025222,           0.0094824,                   0,            0.042147,           0.0061466,           0.0061466
                   5,             0.05268,            0.024503,                   0,             0.32105,             0.34694,             0.33675,             0.11472,             0.03311,           0.0089398,                   0,            0.030319,           0.0073188,           0.0073188
                   6,             0.05078,            0.025008,                   0,             0.68394,             0.66256,             0.66806,             0.16252,            0.032007,           0.0079664,                   0,            0.018465,           0.0084654,           0.0084654
                   7,            0.059963,            0.026113,                   0,             0.36622,              0.5102,             0.38036,            0.078366,            0.034441,           0.0070333,                   0,            0.009307,            0.009307,            0.009307
                   8,            0.048648,            0.024362,                   0,             0.26899,             0.51066,             0.24474,            0.050058,            0.041459,           0.0060119,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.051803,            0.026075,                   0,             0.42051,             0.68128,              0.4251,             0.10856,            0.024917,            0.007543,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.043733,            0.023105,                   0,             0.43015,              0.4898,             0.48163,              0.1428,             0.02007,           0.0077673,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.048004,            0.021633,                   0,             0.55611,             0.48586,              0.5591,             0.13244,            0.020394,           0.0059093,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.04084,            0.022949,                   0,             0.42984,             0.59184,             0.45729,             0.11449,            0.023548,           0.0047476,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.041982,            0.020215,                   0,             0.46647,             0.66026,             0.53269,              0.1472,            0.022266,           0.0048117,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.043422,            0.020658,                   0,             0.75653,              0.7551,               0.741,             0.26587,            0.021804,           0.0046111,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.038891,            0.018199,                   0,             0.55375,             0.59184,              0.6061,             0.29332,            0.016291,           0.0040649,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.038266,            0.020576,                   0,             0.81807,             0.73469,             0.83734,             0.37724,            0.016511,           0.0039908,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.041434,            0.019972,                   0,             0.55826,             0.85714,             0.61733,               0.292,            0.014645,           0.0036066,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.035082,            0.020558,                   0,             0.86256,             0.89657,             0.90005,              0.3194,            0.017488,           0.0032068,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.042656,            0.019193,                   0,             0.76306,             0.78878,             0.89639,             0.41411,            0.016358,           0.0032502,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.039628,            0.019182,                   0,             0.81342,             0.71429,              0.8325,             0.43141,            0.015644,           0.0034144,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.032498,            0.019095,                   0,             0.84069,             0.77551,             0.88974,             0.39082,             0.01474,           0.0040441,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.038868,            0.019592,                   0,              0.7101,             0.79592,             0.84698,             0.35627,            0.016864,           0.0034231,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.033968,            0.018784,                   0,             0.82599,              0.7551,             0.88843,             0.47593,            0.016535,           0.0036558,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.031932,            0.017238,                   0,             0.88095,             0.97959,             0.96682,             0.57162,            0.015529,           0.0034168,                   0,            0.007723,            0.007723,            0.007723
                  25,             0.03663,            0.017981,                   0,             0.85734,             0.83673,             0.87177,             0.33136,             0.02106,           0.0036986,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.03652,            0.017446,                   0,             0.91557,             0.93878,             0.97102,             0.59518,            0.013485,           0.0030978,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.032979,            0.016909,                   0,             0.88595,              0.9513,             0.92529,             0.36262,            0.025201,           0.0038934,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.032986,            0.018516,                   0,             0.99053,             0.85714,              0.9781,              0.6163,            0.014729,           0.0035802,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.037948,            0.016908,                   0,                   1,             0.93698,             0.99301,             0.57744,            0.015548,           0.0033726,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.034368,            0.016712,                   0,             0.99037,                   1,               0.995,             0.65757,            0.012082,           0.0034494,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.030695,            0.014938,                   0,             0.99759,                   1,               0.995,             0.73956,            0.011778,           0.0034123,                   0,             0.00703,             0.00703,             0.00703
                  32,             0.03363,            0.015997,                   0,             0.99541,                   1,               0.995,             0.57734,             0.01867,            0.003118,                   0,            0.006931,            0.006931,            0.006931
                  33,             0.03385,            0.015876,                   0,             0.99274,                   1,               0.995,             0.73277,            0.012925,            0.003474,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.034091,            0.014559,                   0,             0.97909,                   1,               0.987,             0.70362,            0.011892,           0.0033899,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.032403,            0.016694,                   0,             0.99372,                   1,               0.995,             0.67355,            0.011333,           0.0033578,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.027797,            0.015131,                   0,             0.99795,                   1,               0.995,             0.69063,            0.011691,           0.0031966,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.033823,            0.015374,                   0,             0.99724,                   1,               0.995,             0.73518,           0.0097502,           0.0033321,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.031735,            0.015233,                   0,              0.9971,                   1,               0.995,             0.75823,            0.010858,           0.0031603,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.032588,            0.014253,                   0,                   1,             0.99607,               0.995,             0.74077,            0.012109,           0.0027214,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.026389,            0.013289,                   0,             0.99894,                   1,               0.995,              0.7938,           0.0085963,           0.0032216,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.02632,            0.013339,                   0,             0.99648,                   1,               0.995,             0.70689,            0.010478,           0.0030711,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.029132,            0.014492,                   0,              0.9982,                   1,               0.995,             0.72027,            0.010948,           0.0034376,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.029214,            0.015546,                   0,             0.97907,                   1,               0.993,             0.70701,           0.0089712,           0.0035309,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.027406,            0.014595,                   0,               0.997,                   1,               0.995,             0.82847,           0.0074335,            0.003089,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.026599,            0.015478,                   0,             0.99816,                   1,               0.995,              0.8199,           0.0080849,           0.0031768,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.026994,            0.014428,                   0,              0.9969,                   1,               0.995,             0.80571,           0.0095331,           0.0029859,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.027874,            0.014758,                   0,             0.99852,                   1,               0.995,             0.82958,           0.0080615,           0.0031963,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.023119,            0.013805,                   0,             0.99793,                   1,               0.995,             0.80677,           0.0090228,           0.0032327,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.024912,            0.013856,                   0,             0.99623,                   1,               0.995,             0.80119,            0.008104,           0.0031774,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.028326,             0.01446,                   0,             0.99873,                   1,               0.995,             0.82782,           0.0081648,           0.0030123,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.027928,              0.0139,                   0,             0.99798,                   1,               0.995,             0.75898,            0.008248,             0.00245,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.023733,            0.013586,                   0,             0.99777,                   1,               0.995,             0.81038,           0.0085457,           0.0029439,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.027388,            0.013491,                   0,             0.99846,                   1,               0.995,             0.73232,           0.0098164,           0.0030364,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.022183,            0.013023,                   0,             0.99862,                   1,               0.995,             0.78831,            0.009923,            0.003155,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.025821,            0.012976,                   0,              0.9983,                   1,               0.995,             0.82207,            0.008431,           0.0029421,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.025518,             0.01417,                   0,              0.9981,                   1,               0.995,             0.76277,            0.010407,           0.0029751,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.025736,            0.012665,                   0,             0.99749,                   1,               0.995,             0.76434,            0.010536,            0.002788,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.026099,            0.013245,                   0,             0.99763,                   1,               0.995,             0.77714,            0.010274,           0.0031827,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.024919,            0.013088,                   0,             0.99894,                   1,               0.995,              0.7906,           0.0091542,           0.0029408,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.026023,            0.012795,                   0,              0.9984,                   1,               0.995,             0.79408,           0.0086025,           0.0030071,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.022418,            0.012895,                   0,             0.99862,                   1,               0.995,             0.82421,           0.0080445,           0.0031161,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.020304,            0.012403,                   0,             0.99835,                   1,               0.995,              0.7455,            0.010758,           0.0033753,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.019919,            0.013608,                   0,             0.99854,                   1,               0.995,             0.79407,           0.0085256,           0.0033483,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.021274,            0.013007,                   0,             0.99855,                   1,               0.995,             0.82433,           0.0091156,           0.0029061,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.026567,            0.012973,                   0,             0.99822,                   1,               0.995,             0.81727,           0.0092867,           0.0026782,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.025006,              0.0126,                   0,             0.99775,                   1,               0.995,             0.80162,           0.0098963,           0.0025532,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.021957,            0.012483,                   0,              0.9971,                   1,               0.995,             0.82157,           0.0090713,           0.0026893,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.017488,            0.011878,                   0,              0.9979,                   1,               0.995,             0.84917,            0.008385,           0.0027369,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.02209,            0.012444,                   0,             0.99838,                   1,               0.995,             0.78795,            0.010012,            0.003012,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.022439,            0.011912,                   0,             0.99871,                   1,               0.995,              0.8426,            0.007631,            0.002981,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.022136,            0.011899,                   0,             0.99858,                   1,               0.995,             0.86511,           0.0065416,           0.0027271,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.024632,             0.01218,                   0,             0.99893,                   1,               0.995,             0.87175,           0.0066939,           0.0029277,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.020595,            0.012454,                   0,             0.99861,                   1,               0.995,             0.80351,           0.0090199,           0.0029619,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.018893,            0.011926,                   0,             0.99863,                   1,               0.995,             0.83836,           0.0071499,           0.0028632,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.021992,            0.010555,                   0,             0.99877,                   1,               0.995,             0.84965,           0.0077562,           0.0027907,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.021495,            0.012355,                   0,             0.99882,                   1,               0.995,             0.86833,            0.007236,           0.0028361,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.022232,            0.011736,                   0,             0.99869,                   1,               0.995,             0.85331,           0.0076066,           0.0030444,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.020404,            0.011857,                   0,             0.99844,                   1,               0.995,             0.86798,           0.0078018,           0.0029157,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.020141,            0.011089,                   0,             0.99804,                   1,               0.995,             0.86566,           0.0077728,           0.0027973,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.017449,            0.010773,                   0,             0.99878,                   1,               0.995,             0.87034,            0.007332,           0.0030967,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.019779,            0.010193,                   0,             0.99869,                   1,               0.995,             0.86666,            0.007722,           0.0033493,                   0,             0.00208,             0.00208,             0.00208
                  82,               0.018,            0.010858,                   0,             0.99879,                   1,               0.995,             0.86872,           0.0071517,           0.0034443,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.022713,            0.011773,                   0,             0.99893,                   1,               0.995,             0.86853,            0.006918,           0.0033466,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.021584,            0.010512,                   0,             0.99877,                   1,               0.995,             0.87676,           0.0062681,            0.003325,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.017522,            0.010574,                   0,             0.99874,                   1,               0.995,             0.88256,           0.0058604,           0.0032995,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.023407,            0.011004,                   0,             0.99874,                   1,               0.995,               0.882,           0.0064163,           0.0033928,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.018445,             0.01078,                   0,             0.99873,                   1,               0.995,             0.87177,           0.0063862,           0.0034522,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.021727,            0.011501,                   0,             0.99877,                   1,               0.995,             0.89513,           0.0062052,           0.0034026,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.016327,            0.010604,                   0,             0.99884,                   1,               0.995,             0.89054,           0.0067615,           0.0033115,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.016701,            0.010315,                   0,             0.99878,                   1,               0.995,             0.88269,           0.0071437,           0.0031993,                   0,            0.001189,            0.001189,            0.001189
                  91,             0.02081,            0.011032,                   0,             0.99877,                   1,               0.995,              0.8892,           0.0063044,           0.0031997,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.016609,            0.010097,                   0,             0.99882,                   1,               0.995,             0.89504,           0.0065579,           0.0031102,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.018062,            0.010778,                   0,             0.99881,                   1,               0.995,              0.8938,           0.0066462,           0.0030712,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.018312,             0.01027,                   0,             0.99879,                   1,               0.995,             0.88331,           0.0066658,           0.0031156,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.021073,            0.010474,                   0,              0.9988,                   1,               0.995,             0.89543,           0.0059696,           0.0032125,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.01774,            0.010705,                   0,             0.99882,                   1,               0.995,             0.89435,           0.0057796,           0.0033379,                   0,            0.000595,            0.000595,            0.000595
